T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,962.9933695858264,1318.8950496719747
10000,1115.7007777918177,1553.2478802571356,1364.585077014026
15000,1161.2084327130733,2134.3797559007016,1410.0472242803603
20000,1206.4891171453078,2706.516479011207,1455.2826280281627
25000,1251.543963109124,3269.7838766377863,1500.2924191460145
30000,1296.374096979143,3824.3061407763794,1545.077722882164
35000,1340.9806395121677,4370.205848524481,1589.6396588726554
40000,1385.3647058752001,4907.603982099369,1633.979341169325
45000,1429.5274056733203,5436.619948453858,1678.097878267647
50000,1473.4698429774269,5957.37159889445,1721.9963731344494
55000,1517.1931163518416,6469.975248144839,1765.6759232354898
60000,1560.6983188817671,6974.545693512731,1809.1376205628856
65000,1603.9865382006215,7471.196233577669,1852.3825516624208
70000,1647.0588565172234,7960.038686817345,1895.4117976607063
75000,1689.9163506428529,8441.183409906484,1938.2264342922101
80000,1732.5600920181655,8914.739315840021,1980.8275319261477
85000,1774.991146739983,9380.81389184248,2023.2161555932432
90000,1817.2105755879447,9839.513217126638,2065.3933650123568
95000,1859.219434051026,10290.941980210315,2107.360214616975
100000,1901.0187723539257,10735.203496411244,2149.1177535815723
