T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,1518.6053087241644,1318.2966570908566
10000,1115.7007777918177,2291.6016640900916,1363.3902823289684
15000,1161.2084327130733,3054.5639552208945,1408.2580105210889
20000,1206.4891171453078,3807.624210385653,1452.9009708066337
25000,1251.543963109124,4550.912779735752,1497.3202866860127
30000,1296.374096979143,5284.558355810304,1541.5170760487767
35000,1340.9806395121677,6008.687993803408,1585.4924512016244
40000,1385.3647058752001,6723.427131694336,1629.2475188962753
45000,1429.5274056733203,7428.899609974682,1672.7833803571957
50000,1473.4698429774269,8125.227691377342,1716.1011313091929
55000,1517.1931163518416,8812.532080050332,1759.2018620048689
60000,1560.6983188817671,9490.9319408333,1802.0866572519346
65000,1603.9865382006215,10160.544918054573,1844.7565964403927
70000,1647.0588565172234,10821.487154266104,1887.2127535695831
75000,1689.9163506428529,11473.873308650467,1929.4561972750919
80000,1732.5600920181655,12117.816575251578,1971.4879908555258
85000,1774.991146739983,12753.428700991106,2013.3091922991548
90000,1817.2105755879447,13380.820003533645,2054.920854310423
95000,1859.219434051026,14000.099388709448,2096.3240243363225
100000,1901.0187723539257,14611.374368114739,2137.519744592639
