T,Sb_av,Sb_std,varSb_av,varSb_std,Sc_av,Sc_std
5000,1069.8979199999999,0.11541451208569894,1529.6369100000002,2.899618723366892,1318.0483100000001,0.8036773201353543
10000,1115.79736,0.14679160875195646,2305.87255,2.0956490356211246,1363.51841,0.8530233425293796
15000,1161.17322,0.17432277992281278,3064.32845,4.220031529562155,1408.2975099999999,0.8387980918552802
20000,1206.51619,0.192926604956415,3820.61028,4.653500707166573,1452.5562,1.1183167350978482
25000,1251.7258100000001,0.18167020917028237,4565.882250000001,7.691289826193143,1496.9772399999997,0.6843934266195617
30000,1296.4316099999999,0.1677219273082471,5293.217750000001,6.0197045321593725,1541.16401,1.0220141099318865
35000,1340.92685,0.23105514601501498,6016.78153,6.416072954705179,1585.31365,1.1494107770940927
40000,1385.55745,0.2952752182286632,6728.71293,12.900308842043534,1629.6803400000001,1.1194530523429518
45000,1429.66282,0.3405070389874716,7420.714569999999,9.726359608409714,1673.09529,1.3611440367941083
50000,1473.66667,0.2404984367931616,8115.80211,15.544462884863245,1716.0115799999999,1.2890749224153264
55000,1517.25053,0.2030264812776485,8802.41708,18.137027936285676,1758.3287200000002,0.7468694220543991
60000,1561.02001,0.2986187952892659,9484.196059999998,15.596362036462564,1802.5407500000001,0.9941515661608107
65000,1604.2464000000002,0.3212676641058028,10146.91802,15.23331891931653,1845.3597000000002,1.2168892053099951
70000,1647.2437000000002,0.32010087160138645,10802.05864,12.932704648386713,1887.45798,1.3689370707232003
75000,1690.3154900000002,0.3334517549811992,11453.7271,17.117744418876953,1930.11224,1.1479671242678724
80000,1732.8696499999999,0.2827006658995042,12077.1733,13.544660477915214,1972.11973,1.1026599539749482
85000,1775.38619,0.38752977550123946,12712.395859999999,22.485687134806575,2013.74628,1.354916490268003
90000,1817.5012599999998,0.26121617560946114,13315.27235,12.981674240347463,2054.67626,0.8841806989524944
95000,1859.72525,0.3199955351251102,13954.478959999999,12.402015092653338,2097.60108,0.7469424446368762
100000,1901.3966,0.30004469667032824,14529.799910000002,14.312857888727406,2138.00733,0.9762714561535084
