T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,1539.4094842344566,1318.2966570908566
10000,1115.7007777918177,2319.2483732867504,1363.3902823289684
15000,1161.2084327130733,3089.019070807762,1408.2580105210889
20000,1206.4891171453078,3848.8537752772563,1452.9009708066337
25000,1251.543963109124,4598.883006208373,1497.3202866860127
30000,1296.374096979143,5339.2356246572845,1541.5170760487767
35000,1340.9806395121677,6070.038853494664,1585.4924512016244
40000,1385.3647058752001,6791.418297540071,1629.2475188962753
45000,1429.5274056733203,7503.497963293265,1672.7833803571957
50000,1473.4698429774269,8206.400278667337,1716.1011313091929
55000,1517.1931163518416,8900.246112166662,1759.2018620048689
60000,1560.6983188817671,9585.154792167508,1802.0866572519346
65000,1603.9865382006215,10261.244125719188,1844.7565964403927
70000,1647.0588565172234,10928.630417283062,1887.2127535695831
75000,1689.9163506428529,11587.428487143583,1929.4561972750919
80000,1732.5600920181655,12237.75168964305,1971.4879908555258
85000,1774.991146739983,12879.711931202019,2013.3091922991548
90000,1817.2105755879447,13513.41968818847,2054.920854310423
95000,1859.219434051026,14138.984024344507,2096.3240243363225
100000,1901.0187723539257,14756.512608390609,2137.519744592639
