T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,1648.6314056634908,1318.2966570908566
10000,1115.7007777918177,2464.3935965692076,1363.3902823289684
15000,1161.2084327130733,3269.908427638816,1408.2580105210889
20000,1206.4891171453078,4065.308990958174,1452.9009708066337
25000,1251.543963109124,4850.7266951896345,1497.3202866860127
30000,1296.374096979143,5626.291286103929,1541.5170760487767
35000,1340.9806395121677,6392.130866873759,1585.4924512016244
40000,1385.3647058752001,7148.371918230181,1629.2475188962753
45000,1429.5274056733203,7895.139318215826,1672.7833803571957
50000,1473.4698429774269,8632.556361939814,1716.1011313091929
55000,1517.1931163518416,9360.744780777388,1759.2018620048689
60000,1560.6983188817671,10079.8247616721,1802.0866572519346
65000,1603.9865382006215,10789.914965958418,1844.7565964403927
70000,1647.0588565172234,11491.132548122088,1887.2127535695831
75000,1689.9163506428529,12183.593174232441,1929.4561972750919
80000,1732.5600920181655,12867.411040198274,1971.4879908555258
85000,1774.991146739983,13542.698889809315,2013.3091922991548
90000,1817.2105755879447,14209.56803262631,2054.920854310423
95000,1859.219434051026,14868.128361428568,2096.3240243363225
100000,1901.0187723539257,15518.488369838924,2137.519744592639
