T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,1576.3946851416429,1318.2966570908566
10000,1115.7007777918177,2368.3980785252543,1363.3902823289684
15000,1161.2084327130733,3150.2726096288598,1408.2580105210889
20000,1206.4891171453078,3922.150779528996,1452.9009708066337
25000,1251.543963109124,4684.163408826366,1497.3202866860127
30000,1296.374096979143,5436.439658163026,1541.5170760487767
35000,1340.9806395121677,6179.1070485013415,1585.4924512016244
40000,1385.3647058752001,6912.291481265823,1629.2475188962753
45000,1429.5274056733203,7636.1172580818575,1672.7833803571957
50000,1473.4698429774269,8350.707100516218,1716.1011313091929
55000,1517.1931163518416,9056.182169262358,1759.2018620048689
60000,1560.6983188817671,9752.662083428322,1802.0866572519346
65000,1603.9865382006215,10440.26493934517,1844.7565964403927
70000,1647.0588565172234,11119.107329313209,1887.2127535695831
75000,1689.9163506428529,11789.304360020233,1929.4561972750919
80000,1732.5600920181655,12450.969670783443,1971.4879908555258
85000,1774.991146739983,13104.215451576976,2013.3091922991548
90000,1817.2105755879447,13749.152460908163,2054.920854310423
95000,1859.219434051026,14385.890043251278,2096.3240243363225
100000,1901.0187723539257,15014.53614665882,2137.519744592639
