T,Sb_th,varSb_th,Sc_th
5000,1069.9650146866616,1749.7628143940779,1318.2966570908566
10000,1115.7007777918177,2598.7873218307423,1363.3902823289684
15000,1161.2084327130733,3437.3985728527555,1408.2580105210889
20000,1206.4891171453078,4265.730486959023,1452.9009708066337
25000,1251.543963109124,5083.915296098209,1497.3202866860127
30000,1296.374096979143,5892.083565221193,1541.5170760487767
35000,1340.9806395121677,6690.364212595143,1585.4924512016244
40000,1385.3647058752001,7478.884529980283,1629.2475188962753
45000,1429.5274056733203,8257.770202403382,1672.7833803571957
50000,1473.4698429774269,9027.145327932849,1716.1011313091929
55000,1517.1931163518416,9787.132436898431,1759.2018620048689
60000,1560.6983188817671,10537.85251121339,1802.0866572519346
65000,1603.9865382006215,11279.425003216964,1844.7565964403927
70000,1647.0588565172234,12011.96785445452,1887.2127535695831
75000,1689.9163506428529,12735.597514129533,1929.4561972750919
80000,1732.5600920181655,13450.42895737904,1971.4879908555258
85000,1774.991146739983,14156.575703334587,2013.3091922991548
90000,1817.2105755879447,14854.149833031717,2054.920854310423
95000,1859.219434051026,15543.26200687677,2096.3240243363225
100000,1901.0187723539257,16224.021482291068,2137.519744592639
